Primary key	Level 1	Level 2	Level 3/Subsystem Name
400	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds	Benzoate degradation
401	Metabolism of Aromatic Compounds	-	Benzoate transport and degradation cluster
420	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds	Biphenyl Degradation
547	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	Catechol branch of beta-ketoadipate pathway
557	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	Central meta-cleavage pathway of aromatic compound degradation
560	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds	Chloroaromatic degradation pathway
563	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds	Chlorobenzoate degradation
616	Metabolism of Aromatic Compounds	-	Cresol degradation
686	Metabolism of Aromatic Compounds	Anaerobic degradation of aromatic compounds	Acetophenone carboxylase 1
780	Metabolism of Aromatic Compounds	-	Gallic acid utilization
782	Metabolism of Aromatic Compounds	-	Gentisate degradation
841	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	Homogentisate pathway of aromatic compound degradation
848	Metabolism of Aromatic Compounds	Anaerobic degradation of aromatic compounds	Hydroxyaromatic decarboxylase family
1031	Metabolism of Aromatic Compounds	Anaerobic degradation of aromatic compounds	Anaerobic Aromatic Degredation (benzoate)
1041	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	N-heterocyclic aromatic compound degradation
1049	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds	Naphtalene and antracene degradation
1050	Metabolism of Aromatic Compounds	Anaerobic degradation of aromatic compounds	Anaerobic benzoate metabolism
1137	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds	Phenol hydroxylase
1138	Metabolism of Aromatic Compounds	-	Phenylacetyl-CoA catabolic pathway (core)
1140	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds	Phenylpropanoid compound degradation
1211	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	Protocatechuate branch of beta-ketoadipate pathway
1217	Metabolism of Aromatic Compounds	-	Aromatic Amin Catabolism
1249	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds	Quinate degradation
31	Miscellaneous	Plant-Prokaryote comparative genomics	At1g48360
39	Miscellaneous	Plant-Prokaryote comparative genomics	At1g54520
47	Miscellaneous	Plant-Prokaryote comparative genomics	At1g69340 At2g40600
80	Miscellaneous	Plant-Prokaryote comparative genomics	At2g33980 At1g28960
82	Miscellaneous	Plant-Prokaryote comparative genomics	Single-Rhodanese-domain proteins
91	Miscellaneous	Plant-Prokaryote comparative genomics	At2g44920 At1g12250
141	Miscellaneous	Plant-Prokaryote comparative genomics	Synechocystis experimental
147	Miscellaneous	Plant-Prokaryote comparative genomics	At5g04520 AT1G06240
305	Miscellaneous	Plant-Prokaryote comparative genomics	YebC
307	Miscellaneous	Plant-Prokaryote comparative genomics	YgfZ-Fe-S
326	Miscellaneous	-	BactLuciferaseComplex
376	Miscellaneous	-	Bacterial Luciferases
415	Miscellaneous	-	Biolumenescence
426	Miscellaneous	-	Broadly distributed proteins not in subsystems
516	Miscellaneous	Plant-Prokaryote comparative genomics	COG0277
517	Miscellaneous	Plant-Prokaryote comparative genomics	COG1836
518	Miscellaneous	Plant-Prokaryote comparative genomics	COG2016
519	Miscellaneous	Plant-Prokaryote comparative genomics	COG2363
604	Miscellaneous	Plant-Prokaryote comparative genomics	Competence or DNA damage-inducible protein CinA and related protein families
607	Miscellaneous	Plant-Prokaryote comparative genomics	Conserved gene cluster possibly involved in RNA metabolism
694	Miscellaneous	-	EC 2.7.1.- Phosphotransferases with an alcohol group as acceptor
703	Miscellaneous	-	EC 4. 1. 1.- Carboxy-lyases
704	Miscellaneous	-	EC 4.1.2.- Aldehyde-lyases
705	Miscellaneous	-	EC 4.1.3.- Oxo-acid-lyases
706	Miscellaneous	-	EC 5.1.2.- Racemaces and epimerases acting on hydroxy acids and derivatives
708	Miscellaneous	-	EC 6.3.4.- Ligases that form carbon-nitrogen bonds
863	Miscellaneous	Plant-Prokaryote comparative genomics	IojapClusters
894	Miscellaneous	Lactate racemization	Lactate Racemization
924	Miscellaneous	-	Luciferases
959	Miscellaneous	-	Metabolite repair
981	Miscellaneous	-	Microbial ethylene biosynthesis
987	Miscellaneous	-	Muconate lactonizing enzyme family
1017	Miscellaneous	-	Mycobacterium jamboree
1055	Miscellaneous	-	Nicotinate catabolism, anaerobic
1076	Miscellaneous	Plant-Prokaryote comparative genomics	Omega-amidase
1077	Miscellaneous	Plant-Prokaryote comparative genomics	Omega-amidase KE
1078	Miscellaneous	Plant-Prokaryote comparative genomics	Omega-amidase KE2
1145	Miscellaneous	-	Archease
1156	Miscellaneous	-	Archease2
13	Motility and Chemotaxis	Social motility and nonflagellar swimming in bacteria	Rhamnolipids in Pseudomonas
355	Motility and Chemotaxis	-	Bacterial Chemotaxis
392	Motility and Chemotaxis	Social motility and nonflagellar swimming in bacteria	Bacterial motility:Gliding
609	Motility and Chemotaxis	Social motility and nonflagellar swimming in bacteria	Control of Swarming in Vibrio and Shewanella species
751	Motility and Chemotaxis	Flagellar motility in Prokaryota	Flagellar motility
752	Motility and Chemotaxis	Flagellar motility in Prokaryota	Flagellum
753	Motility and Chemotaxis	Flagellar motility in Prokaryota	Flagellum in Campylobacter
766	Motility and Chemotaxis	Flagellar motility in Prokaryota	Additional flagellar genes in Vibrionales
937	Motility and Chemotaxis	Magnetotaxis	Magnetosome
1091	Motility and Chemotaxis	Flagellar motility in Prokaryota	Archaeal Flagellum
621	Nitrogen Metabolism	-	Cyanate hydrolysis
679	Nitrogen Metabolism	-	Denitrification
692	Nitrogen Metabolism	-	Dissimilatory nitrite reductase
932	Nitrogen Metabolism	-	Allantoin Utilization
975	Nitrogen Metabolism	-	Amidase clustered with urea and nitrile hydratase functions
1008	Nitrogen Metabolism	-	Ammonia assimilation
1056	Nitrogen Metabolism	-	Nitrate and nitrite ammonification
1057	Nitrogen Metabolism	-	Nitric oxide synthase
1058	Nitrogen Metabolism	-	Nitrilase
1059	Nitrogen Metabolism	-	Nitrogen Metabolism in Aspergillus nidulans
1061	Nitrogen Metabolism	-	Nitrogen fixation
1062	Nitrogen Metabolism	-	Nitrosative stress
22	Nucleosides and Nucleotides	-	Ribonucleotide reduction
296	Nucleosides and Nucleotides	Purines	Xanthine Metabolism in Bacteria
297	Nucleosides and Nucleotides	Purines	Xanthosine utilization (xap region)
350	Nucleosides and Nucleotides	Pyrimidines	pyrimidine conversions
579	Nucleosides and Nucleotides	-	AMP to 3-phosphoglycerate
675	Nucleosides and Nucleotides	Purines	De Novo Purine Biosynthesis
676	Nucleosides and Nucleotides	Pyrimidines	De Novo Pyrimidine Synthesis
776	Nucleosides and Nucleotides	-	Adenosyl nucleosidases
845	Nucleosides and Nucleotides	-	Hydantoin metabolism
1066	Nucleosides and Nucleotides	Pyrimidines	Novel non-oxidative pathway of Uracil catabolism
1215	Nucleosides and Nucleotides	-	Pseudouridine Metabolism
1221	Nucleosides and Nucleotides	Purines	Purine Utilization
1222	Nucleosides and Nucleotides	Purines	Purine conversions
1223	Nucleosides and Nucleotides	Purines	Purine de novo biosynthesis in plants
1224	Nucleosides and Nucleotides	Purines	Purine nucleotide synthesis regulator
1236	Nucleosides and Nucleotides	Pyrimidines	Pyrimidine de novo biosynthesis in plants
1237	Nucleosides and Nucleotides	Pyrimidines	Pyrimidine utilization
146	Phages, Prophages, Transposable elements	Phage family-specific subsystems	T7-like cyanophage core proteins
148	Phages, Prophages, Transposable elements	Phage family-specific subsystems	T7-like non-cyanophage core proteins
222	Phages, Prophages, Transposable elements	-	Transposase in enterics
1117	Phages, Prophages, Transposable elements	Superinfection Exclusion	Phage Dual Exonuclease Exclusion
1120	Phages, Prophages, Transposable elements	Bacteriophage structural proteins	Phage capsid proteins
1122	Phages, Prophages, Transposable elements	Phage family-specific subsystems	Phage cyanophage
1124	Phages, Prophages, Transposable elements	Phage Host Interactions	Phage entry and exit
1126	Phages, Prophages, Transposable elements	Bacteriophage integration/excision/lysogeny	Phage integration and excision
40	Phages, Prophages, Transposable elements, Plasmids	Plasmid related functions	Rolling-circle replication
109	Phages, Prophages, Transposable elements, Plasmids	Pathogenicity islands	Staphylococcal pathogenicity islands SaPI
110	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Staphylococcal phi-Mu50B-like prophages
143	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	T4-like cyanophage core proteins
144	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	T4-like non-cyanophage core proteins
149	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	T7-like phage core proteins
193	Phages, Prophages, Transposable elements, Plasmids	Transposable elements	Tn552
288	Phages, Prophages, Transposable elements, Plasmids	Pathogenicity islands	Vibrio pathogenicity island
441	Phages, Prophages, Transposable elements, Plasmids	Transposable elements	CBSS-203122.12.peg.188
605	Phages, Prophages, Transposable elements, Plasmids	Transposable elements	Conjugative transposon, Bacteroidales
852	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	IbrA and IbrB: co-activators of prophage gene expression
859	Phages, Prophages, Transposable elements, Plasmids	-	Integrons
919	Phages, Prophages, Transposable elements, Plasmids	Pathogenicity islands	Listeria Pathogenicity Island LIPI-1 extended
920	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Listeria phi-A118-like prophages
1116	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage DNA methyltransferases
1118	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage Ea cluster
1119	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage Family Inoviridae
1121	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage carbon metabolism
1125	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage head and packaging
1127	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage neck proteins
1128	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage nin genes - N-independent survival
1129	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage packaging machinery
1130	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage photosynthesis
1132	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage tail fiber proteins
1133	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage tail proteins 2
1166	Phages, Prophages, Transposable elements, Plasmids	Plasmid related functions	Plasmid-encoded T-DNA transfer
1194	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Prophage lysogenic conversion modules
1196	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Prophage-encoded Rst operon
837	Phosphorus Metabolism	-	High affinity phosphate transporter and control of PHO regulon
922	Phosphorus Metabolism	-	Alkylphosphonate utilization
1089	Phosphorus Metabolism	-	P uptake (cyanobacteria)
1143	Phosphorus Metabolism	-	Phosphate metabolism
1148	Phosphorus Metabolism	-	Phosphoenolpyruvate phosphomutase
1153	Phosphorus Metabolism	-	Phosphonate metabolism
391	Photosynthesis	Light-harvesting complexes	Bacterial light-harvesting proteins
397	Photosynthesis	-	Bacteriorhodopsin
566	Photosynthesis	Light-harvesting complexes	Chlorosome
1159	Photosynthesis	Electron transport and photophosphorylation	Photosystem I
1160	Photosynthesis	Electron transport and photophosphorylation	Photosystem I-type photosynthetic reaction center
1161	Photosynthesis	Electron transport and photophosphorylation	Photosystem II
1162	Photosynthesis	Electron transport and photophosphorylation	Photosystem II-type photosynthetic reaction center
1163	Photosynthesis	Light-harvesting complexes	Phycobilisome
1210	Photosynthesis	-	Proteorhodopsin
100	Plant cell walls and outer surfaces	-	Sporopollenin biosynthesis in plants
128	Plant cell walls and outer surfaces	-	Suberin biosynthesis in plants
298	Plant cell walls and outer surfaces	-	Xylan degradation in plants
300	Plant cell walls and outer surfaces	-	Xyloglucan biosynthesis in plants
527	Plant cell walls and outer surfaces	-	Callose biosynthesis in plants
555	Plant cell walls and outer surfaces	-	Cellulose biosynthesis in plants
618	Plant cell walls and outer surfaces	-	Cuticular wax in plants
620	Plant cell walls and outer surfaces	-	Cutin biosynthesis in plants
906	Plant cell walls and outer surfaces	-	Lignin biosynthesis in plants
1096	Plant cell walls and outer surfaces	-	Pectin metabolism in plants
347	Potassium metabolism	-	pH adaptation potassium efflux system
793	Potassium metabolism	-	Glutathione-regulated potassium-efflux system and associated functions
849	Potassium metabolism	-	Hyperosmotic potassium uptake
1183	Potassium metabolism	-	Potassium homeostasis
10	Predictions based on plant-prokaryote comparative analysis	-	At1g26220 At1g32070
20	Predictions based on plant-prokaryote comparative analysis	-	At1g33290 At1g73170 At3g10420
58	Predictions based on plant-prokaryote comparative analysis	-	At2g23840
69	Predictions based on plant-prokaryote comparative analysis	-	At2g25870
102	Predictions based on plant-prokaryote comparative analysis	-	At3g21300
114	Predictions based on plant-prokaryote comparative analysis	-	At3g50560
125	Predictions based on plant-prokaryote comparative analysis	-	At4g10620 At3g57180 At3g47450
136	Predictions based on plant-prokaryote comparative analysis	-	At4g17370
1257	Predictions based on plant-prokaryote comparative analysis	-	At1g01770
1268	Predictions based on plant-prokaryote comparative analysis	-	At1g14345
1279	Predictions based on plant-prokaryote comparative analysis	-	At1g21350
1290	Predictions based on plant-prokaryote comparative analysis	-	At1g24340
15	Protein Metabolism	Protein processing and modification	Rhombosortase
23	Protein Metabolism	Protein processing and modification	Ribosomal protein S12p Asp methylthiotransferase
24	Protein Metabolism	Protein processing and modification	Ribosomal protein S5p acylation
25	Protein Metabolism	Protein biosynthesis	Ribosomal protein paralogs
26	Protein Metabolism	Protein biosynthesis	Ribosomal proteins, zinc requirement
27	Protein Metabolism	Protein biosynthesis	Ribosome LSU bacterial
28	Protein Metabolism	Protein biosynthesis	Ribosome LSU chloroplast
29	Protein Metabolism	Protein biosynthesis	Ribosome LSU eukaryotic and archaeal
30	Protein Metabolism	Protein biosynthesis	Ribosome LSU mitochondrial
32	Protein Metabolism	Protein biosynthesis	Ribosome SSU bacterial
33	Protein Metabolism	Protein biosynthesis	Ribosome SSU chloroplast
34	Protein Metabolism	Protein biosynthesis	Ribosome SSU eukaryotic and archaeal
35	Protein Metabolism	Protein biosynthesis	Ribosome SSU mitochondrial
36	Protein Metabolism	Protein biosynthesis	Ribosome activity modulation
38	Protein Metabolism	Protein biosynthesis	Ribosome biogenesis bacterial
48	Protein Metabolism	Protein processing and modification	SCIFF peptide maturase system
59	Protein Metabolism	Selenoproteins	Selenocysteine metabolism
60	Protein Metabolism	Selenoproteins	Selenoprotein O
79	Protein Metabolism	Protein processing and modification	Signal peptidase
83	Protein Metabolism	Protein biosynthesis	Single-copy ribosomal proteins
180	Protein Metabolism	Protein folding	Thermosome, archaeal
205	Protein Metabolism	Protein biosynthesis	Trans-translation by stalled ribosomes
211	Protein Metabolism	Protein biosynthesis	Translation elongation factor G family
212	Protein Metabolism	Protein biosynthesis	Translation elongation factors bacterial
213	Protein Metabolism	Protein biosynthesis	Translation elongation factors eukaryotic and archaeal
214	Protein Metabolism	Protein biosynthesis	Translation initiation factors bacterial
215	Protein Metabolism	Protein biosynthesis	Translation initiation factors eukaryotic and archaeal
216	Protein Metabolism	Protein biosynthesis	Translation termination factors bacterial
236	Protein Metabolism	Secretion	Two partner secretion pathway (TPS)
262	Protein Metabolism	Protein processing and modification	Ubiquitin-like archaeal modifier proteins (SAMPs)
263	Protein Metabolism	Protein biosynthesis	Universal GTPases
359	Protein Metabolism	Protein biosynthesis	tRNA aminoacylation, Ala
360	Protein Metabolism	Protein biosynthesis	tRNA aminoacylation, Arg
361	Protein Metabolism	Protein biosynthesis	tRNA aminoacylation, Asp and Asn
362	Protein Metabolism	Protein biosynthesis	tRNA aminoacylation, Cys
363	Protein Metabolism	Protein biosynthesis	tRNA aminoacylation, Glu and Gln
364	Protein Metabolism	Protein biosynthesis	tRNA aminoacylation, Gly
365	Protein Metabolism	Protein biosynthesis	tRNA aminoacylation, His
367	Protein Metabolism	Protein biosynthesis	tRNA aminoacylation, Ile
368	Protein Metabolism	Protein biosynthesis	tRNA aminoacylation, Leu
369	Protein Metabolism	Protein biosynthesis	tRNA aminoacylation, Lys
370	Protein Metabolism	Protein biosynthesis	tRNA aminoacylation, Met
371	Protein Metabolism	Protein biosynthesis	tRNA aminoacylation, Phe
372	Protein Metabolism	Protein biosynthesis	tRNA aminoacylation, Pyr
373	Protein Metabolism	Protein biosynthesis	tRNA aminoacylation, Ser
374	Protein Metabolism	Protein biosynthesis	tRNA aminoacylation, Thr
375	Protein Metabolism	Protein biosynthesis	tRNA aminoacylation, Trp
377	Protein Metabolism	Protein biosynthesis	tRNA aminoacylation, Tyr
378	Protein Metabolism	Protein biosynthesis	tRNA aminoacylation, Val
524	Protein Metabolism	Protein processing and modification	CXXX repeat peptide maturase system
689	Protein Metabolism	Protein processing and modification	Diphthamide biosynthesis
696	Protein Metabolism	Protein degradation	EC 3.4.11.- Aminopeptidases
698	Protein Metabolism	Protein degradation	EC 3.4.13.- Dipeptidases
699	Protein Metabolism	Protein degradation	EC 3.4.17.- Metallocarboxypeptidases
700	Protein Metabolism	Protein degradation	EC 3.4.19.- Omega peptidases
701	Protein Metabolism	Protein degradation	EC 3.4.21.- Serine endopeptidase
702	Protein Metabolism	Protein degradation	EC 3.4.24.- Metalloendopeptidases
746	Protein Metabolism	Protein processing and modification	FeFe hydrogenase maturation
806	Protein Metabolism	Selenoproteins	Glycine reductase, sarcosine reductase and betaine reductase
817	Protein Metabolism	Protein folding	GroEL GroES
860	Protein Metabolism	Protein processing and modification	Inteins
917	Protein Metabolism	Protein processing and modification	Lipoprotein Biosynthesis
982	Protein Metabolism	Protein processing and modification	Modification of eukaryotic initiation factor 5A
1043	Protein Metabolism	Protein processing and modification	N-linked Glycosylation in Bacteria
1068	Protein Metabolism	Protein biosynthesis	Nucleolar protein complex
1100	Protein Metabolism	Protein processing and modification	Peptide methionine sulfoxide reductase
1105	Protein Metabolism	Protein folding	Peptidyl-prolyl cis-trans isomerase
1109	Protein Metabolism	Protein folding	Periplasmic disulfide interchange
1123	Protein Metabolism	Protein processing and modification	Archaeosortase C system
1134	Protein Metabolism	Protein processing and modification	Archeaosortase A system
1189	Protein Metabolism	Protein biosynthesis	Programmed frameshift
1199	Protein Metabolism	Protein degradation	Proteasome archaeal
1200	Protein Metabolism	Protein degradation	Proteasome bacterial
1201	Protein Metabolism	Protein degradation	Proteasome eukaryotic
1204	Protein Metabolism	Protein processing and modification	Protein Acetylation and Deacetylation in Bacteria
1205	Protein Metabolism	Protein folding	Protein chaperones
1207	Protein Metabolism	Protein degradation	Protein degradation
1208	Protein Metabolism	Secretion	Protein secretion by ABC-type exporters
1209	Protein Metabolism	Protein degradation	Proteolysis in bacteria, ATP-dependent
1225	Protein Metabolism	Protein degradation	Putative TldE-TldD proteolytic complex
1240	Protein Metabolism	Protein biosynthesis	Pyrrolysine
1250	Protein Metabolism	Protein processing and modification	Quinohemoprotein amine dehydrogenase maturation
65	Regulation and Cell signaling	-	Sex pheromones in Enterococcus faecalis and other Firmicutes
92	Regulation and Cell signaling	Regulation of virulence	SpeB-SpeF extended regulon
117	Regulation and Cell signaling	Regulation of virulence	Streptococcal Mga Regulon
123	Regulation and Cell signaling	Regulation of virulence	Streptococcus pyogenes virulence regulators
127	Regulation and Cell signaling	-	Stringent Response, (p)ppGpp metabolism
140	Regulation and Cell signaling	Quorum sensing and biofilm formation	Symbiotic colonization and sigma-dependent biofilm formation gene cluster
174	Regulation and Cell signaling	-	The Chv regulatory system of Alphaproteobacteria
177	Regulation and Cell signaling	Quorum sensing and biofilm formation	Autoinducer 2 (AI-2) transport and processing (lsrACDBFGE operon)
201	Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Toxin-antitoxin replicon stabilization systems
202	Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Toxin-antitoxin system in Mycobacterium
203	Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Toxin-antitoxin systems (other than RelBE and MazEF)
204	Regulation and Cell signaling	-	Trans-envelope signaling system VreARI in Pseudomonas
237	Regulation and Cell signaling	Regulation of virulence	Two-component Response Regulator of Virulence ResDE
238	Regulation and Cell signaling	-	Two-component regulatory systems in Campylobacter
250	Regulation and Cell signaling	-	BOX, RUP and SPRITE repeats in Streptococcus pneumoniae
290	Regulation and Cell signaling	Regulation of virulence	VieSAB signal transduction system of Vibrio
291	Regulation and Cell signaling	-	WhiB and WhiB-type regulatory proteins_
313	Regulation and Cell signaling	-	Zinc regulated enzymes
323	Regulation and Cell signaling	-	cAMP signaling in bacteria
335	Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Bacterial Caspases
410	Regulation and Cell signaling	Quorum sensing and biofilm formation	Biofilm Adhesin Biosynthesis
411	Regulation and Cell signaling	Quorum sensing and biofilm formation	Biofilm formation in Staphylococcus
488	Regulation and Cell signaling	Regulation of virulence	A conserved operon linked to TyrR and possibly involved in virulence
499	Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	A toxin-antitoxin module cotranscribed with DinB
554	Regulation and Cell signaling	-	Cell envelope-associated LytR-CpsA-Psr transcriptional attenuators
582	Regulation and Cell signaling	Proteolytic pathway	Coagulation cascade
628	Regulation and Cell signaling	-	CytR regulation
672	Regulation and Cell signaling	-	DNA-binding regulatory proteins, strays
736	Regulation and Cell signaling	Quorum sensing and biofilm formation	Acyl Homoserine Lactone (AHL) Autoinducer Quorum Sensing_
768	Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Fratricide in Streptococcus
773	Regulation and Cell signaling	-	G-protein-coupled receptor (GPCR) system in Actinobacteria
783	Regulation and Cell signaling	-	Global Two-component Regulator PrrBA in Proteobacteria
824	Regulation and Cell signaling	-	HPr catabolite repression system
862	Regulation and Cell signaling	-	Iojap
935	Regulation and Cell signaling	Proteolytic pathway	MT1-MMP Pericellular Network
948	Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	MazEF toxin-antitoxing (programmed cell death) system
996	Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Murein hydrolase regulation and cell death
1080	Regulation and Cell signaling	-	Orphan regulatory proteins
1087	Regulation and Cell signaling	-	Oxygen and light sensor PpaA-PpsR
1090	Regulation and Cell signaling	Signal transduction in Eukaryotes	P38 MAP kinase pathways
1135	Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Phd-Doc, YdcE-YdcD toxin-antitoxin (programmed cell death) systems
1150	Regulation and Cell signaling	Signal transduction in Eukaryotes	Phosphoinositides biosynthesis in plants
1167	Regulation and Cell signaling	Signal transduction in Eukaryotes	Plastidial (p)ppGpp-mediated response in plants
1214	Regulation and Cell signaling	-	Pseudomonas quinolone signal PQS
1256	Regulation and Cell signaling	Quorum sensing and biofilm formation	Quorum sensing in Yersinia
1258	Regulation and Cell signaling	Quorum sensing and biofilm formation	Quorum sensing regulation in Pseudomonas
1259	Regulation and Cell signaling	Quorum sensing and biofilm formation	Quorum-sensing in Vibrio
1278	Regulation and Cell signaling	-	Rcs phosphorelay signal transduction pathway
1286	Regulation and Cell signaling	Proteolytic pathway	Regulatory Intramembrane Proteolysis Pathways
5	Respiration	Mitochondrial electron transport system in plants	Respiratory complex I in plants (mitochondrial)
6	Respiration	Plastidial (cyanobacterial) electron transport system	Respiratory complex I in plants (plastidial) and cyanobacteria
7	Respiration	Mitochondrial electron transport system in plants	Respiratory complex II (succinate dehydrogenase) in plants
8	Respiration	Mitochondrial electron transport system in plants	Respiratory complex III (cytochrome b-c1) in plants
9	Respiration	Mitochondrial electron transport system in plants	Respiratory complex IV (terminal cytochrome c oxidase) in plants
41	Respiration	General Stress Response and Stationary Phase Response	RpoS Regulators SG1
629	Respiration	Plastidial (cyanobacterial) electron transport system	Cytochrome b6-f complex in plants (plastidial) and cyanobacteria
733	Respiration	Mitochondrial electron transport system in plants	F0F1-type ATP synthase in plants (mitochondrial)
734	Respiration	Plastidial (cyanobacterial) electron transport system	F0F1-type ATP synthase in plants (plastidial)
1251	Respiration	Mitochondrial electron transport system in plants	Quinol oxidases in plants (mitochondrial)
1252	Respiration	Plastidial (cyanobacterial) electron transport system	Quinol oxidases in plants (plastidial)
2	Respiration	Electron accepting reactions	Respiration / HGM
3	Respiration	Electron accepting reactions	Respiration / Human gut microbiome
4	Respiration	Electron donating reactions	Respiratory Complex I
11	Respiration	Electron donating reactions	Respiratory dehydrogenases 1
87	Respiration	-	Soluble cytochromes and functionally related electron carriers
88	Respiration	-	Soluble electron carriers in plants
129	Respiration	Electron donating reactions	Succinate dehydrogenase
161	Respiration	Electron accepting reactions	Terminal AA3-600 quinol oxidase
162	Respiration	Electron accepting reactions	Terminal cytochrome C oxidases
163	Respiration	Electron accepting reactions	Terminal cytochrome O ubiquinol oxidase
164	Respiration	Electron accepting reactions	Terminal cytochrome d ubiquinol oxidases
165	Respiration	Electron accepting reactions	Terminal cytochrome oxidases
173	Respiration	Electron accepting reactions	Tetrathionate respiration
258	Respiration	Electron accepting reactions	Ubiquinone Menaquinone-cytochrome c reductase complexes
279	Respiration	ATP synthases	V-Type ATP synthase
280	Respiration	ATP synthases	V-Type ATP synthase in plants (vacuolar)
389	Respiration	Electron accepting reactions	trimethylamine N-oxide (TMAO) reductase
412	Respiration	-	Biogenesis of c-type cytochromes
413	Respiration	-	Biogenesis of cbb3-type cytochrome c oxidases
414	Respiration	-	Biogenesis of cytochrome c oxidases
514	Respiration	Electron donating reactions	CO Dehydrogenase
539	Respiration	-	Carbon monoxide dehydrogenase maturation factors
540	Respiration	-	Carbon monoxide induced hydrogenase
591	Respiration	Electron donating reactions	Coenzyme F420 hydrogenase
593	Respiration	Electron donating reactions	Coenzyme F420-H2 dehydrogenase (methanophenazine)
715	Respiration	Reverse electron transport	Energy conserving hydrogenase b, Methanococcales-Methanobacteriales-Methanopyrales
716	Respiration	Reverse electron transport	Energy conserving hydrogenase, Methanococcales-Methanobacteriales-Methanopyrales
718	Respiration	Electron donating reactions	Energy-conserving hydrogenase (ferredoxin)
732	Respiration	ATP synthases	F0F1-type ATP synthase
744	Respiration	Electron accepting reactions	Fe(III) respiration - Shewanella type
755	Respiration	-	Flavocytochrome C
764	Respiration	Electron donating reactions	Formate dehydrogenase
765	Respiration	-	Formate hydrogenase
821	Respiration	Electron donating reactions	H2:CoM-S-S-HTP oxidoreductase
846	Respiration	Electron donating reactions	Hydrogenases
964	Respiration	Electron donating reactions	Methanophenazine hydrogenase
965	Respiration	-	Alternative NAD(P)H dehydrogenases in plants
1038	Respiration	Sodium Ion-Coupled Energetics	N-ATPase
1039	Respiration	Sodium Ion-Coupled Energetics	N-ATPase-2
1047	Respiration	Electron donating reactions	Na(+)-translocating NADH-quinone oxidoreductase and rnf-like group of electron transport complexes
1048	Respiration	Sodium Ion-Coupled Energetics	Na+ translocating decarboxylases and related biotin-dependent enzymes
1053	Respiration	Electron donating reactions	NiFe hydrogenase maturation
1060	Respiration	Electron accepting reactions	Anaerobic respiratory reductases
1112	Respiration	Reverse electron transport	Archaeal membrane bound hydrogenases
1255	Respiration	-	Quinone oxidoreductase family
1284	Respiration	-	Reductive Dechlorination
19	RNA Metabolism	RNA processing and modification	Ribonuclease H
21	RNA Metabolism	RNA processing and modification	Ribonuclease P archaeal and eukaryal
37	RNA Metabolism	RNA processing and modification	Ribosome biogenesis archaeal
42	RNA Metabolism	Transcription	Rrf2 family transcriptional regulators
43	RNA Metabolism	RNA processing and modification	RtcB RtcA
95	RNA Metabolism	RNA processing and modification	Spliceosome
